time	theta_1	theta_2	theta_3	phi	psi	theta_1_dot	theta_2_dot	theta_3_dot	phi_dot	psi_dot	motor_1_mode	motor_1_theta	motor_1_angvel	motor_1_torque_limit	motor_1_torque	motor_2_mode	motor_2_theta	motor_2_angvel	motor_2_torque_limit	motor_2_torque	motor_3_mode	motor_3_theta	motor_3_angvel	motor_3_torque_limit	motor_3_torque
845	-0.00306796157577	0.0797670009701	0.0107378655152	0	0	-0.0	-1.70483761335	0.0	0	0	0	0	Nan	1	NaN	0	0	Nan	1	NaN	0	0	Nan	1	NaN
874	-0.00306796157577	0.0368155389093	0.0107378655152	0	0	-0.0	-1.29014738307	0.0	0	0	0	0	Nan	1	NaN	0	0	Nan	1	NaN	0	0	Nan	1	NaN
900	-0.00306796157577	0.0184077694546	0.0107378655152	0	0	-0.0	-0.414690230274	0.0	0	0	0	0	Nan	1	NaN	0	0	Nan	1	NaN	0	0	Nan	1	NaN
925	-0.00306796157577	0.0153398078789	0.0107378655152	0	0	-0.0	-0.0	0.0	0	0	0	0	Nan	1	NaN	0	0	Nan	1	NaN	0	1.8	Nan	1	NaN
950	-0.00306796157577	0.0153398078789	0.0107378655152	0	0	-0.0	-0.0	0.0	0	0	0	0	Nan	1	NaN	0	0	Nan	1	NaN	0	1.8	Nan	1	NaN
976	-0.00306796157577	0.0153398078789	0.0199417502425	0	0	-0.0	-0.0	0.460766922527	0	0	0	0	Nan	1	NaN	0	0	Nan	1	NaN	0	1.8	Nan	1	NaN
1003	-0.00306796157577	0.0153398078789	0.0567572891518	0	0	-0.0	-0.0	1.33622407533	0	0	0	0	Nan	1	NaN	0	0	Nan	1	NaN	0	1.8	Nan	1	NaN
1027	-0.00460194236366	0.0153398078789	0.101242732	0	0	-0.0	-0.0	1.52053084434	0	0	0	0	Nan	1	NaN	0	0	Nan	1	NaN	0	1.8	Nan	1	NaN
1052	-0.00306796157577	0.0153398078789	0.151864098001	0	0	-0.0	-0.0	1.70483761335	0	0	0	0	Nan	1	NaN	0	0	Nan	1	NaN	0	1.8	Nan	1	NaN
1077	-0.00460194236366	0.0153398078789	0.200951483213	0	0	-0.0	-0.0	1.7509143056	0	0	0	0	Nan	1	NaN	0	0	Nan	1	NaN	0	1.8	Nan	1	NaN
1102	-0.00306796157577	0.0153398078789	0.250038868425	0	0	-0.0	-0.0	1.6587609211	0	0	0	0	Nan	1	NaN	0	0	Nan	1	NaN	0	1.8	Nan	1	NaN
1128	-0.00306796157577	0.0153398078789	0.29759227285	0	0	-0.0	-0.0	1.61268422884	0	0	0	0	Nan	1	NaN	0	0	Nan	1	NaN	0	1.8	Nan	1	NaN
1153	-0.00306796157577	0.0153398078789	0.346679658062	0	0	-0.0	-0.0	1.70483761335	0	0	0	0	Nan	1	NaN	0	0	Nan	1	NaN	0	1.8	Nan	1	NaN
1177	-0.00460194236366	0.0153398078789	0.394233062487	0	0	-0.0	-0.0	1.6587609211	0	0	0	0	Nan	1	NaN	0	0	Nan	1	NaN	0	1.8	Nan	1	NaN
1201	-0.00306796157577	0.013805827091	0.438718505335	0	0	-0.0	-0.0	1.6587609211	0	0	0	0	Nan	1	NaN	0	0	Nan	1	NaN	0	1.8	Nan	1	NaN
1225	-0.00306796157577	0.013805827091	0.484737928972	0	0	-0.0	-0.0	1.6587609211	0	0	0	0	Nan	1	NaN	0	0	Nan	1	NaN	0	1.8	Nan	1	NaN
1250	-0.00306796157577	0.0153398078789	0.532291333396	0	0	-0.0	-0.0	1.7509143056	0	0	0	0	Nan	1	NaN	0	0	Nan	1	NaN	0	1.8	Nan	1	NaN
1277	-0.00306796157577	0.013805827091	0.581378718609	0	0	-0.0	-0.0	1.6587609211	0	0	0	0	Nan	1	NaN	0	0	Nan	1	NaN	0	1.8	Nan	1	NaN
